ts,inverter,code,meaning
2018-06-11 03:25:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:30:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:35:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:40:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:45:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:50:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:20:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:25:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:30:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:35:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:40:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:45:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:50:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 04:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 05:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 05:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 05:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 05:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 05:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
